Date,Série,Acheteur,Prix Vente,Commission,Profit,Total Net,Profit,
03-févr.,10,pcsap," 5,86 € ",- € ," 5,86 € ","125,16 €",,,,,,
03-févr.,1,filatel," 2,07 € "," 0,41 € "," 1,66 € ","126,82 €",,,,,,
04-févr.,2,Marie-hmi-0," 1,87 € "," 0,69 € "," 1,18 € ","128,00 €",,,,,,
04-févr.,1,Mounette-16071960," 1,40 € "," 0,39 € "," 1,01 € ","129,01 €",,,,,,
04-févr.,1,salto2016," 1,40 € "," 0,39 € "," 1,01 € ","130,02 €",,,,,,
04-févr.,1,adjyva," 1,67 € "," 0,40 € "," 1,27 € ","131,29 €",,,,,,
04-févr.,2,jacques351," 1,77 € ",- € ," 1,77 € ","133,06 €",,,,,,
07-févr.,1,Marie-hmi-0," 1,37 € "," 0,39 € "," 0,98 € ","134,04 €",,,,,,
08-févr.,1,marall_287," 1,50 € "," 0,39 € "," 1,11 € ","135,15 €",,,,,,
09-févr.,2,claude.berthet30," 2,97 € "," 0,44 € "," 2,53 € ","137,68 €",,,,,,
09-févr.,1,Domi-9042," 1,97 € "," 0,41 € "," 1,56 € ","139,24 €",,,,,,
12-févr.,1,jola5092," 2,47 € "," 0,42 € "," 2,05 € ","141,29 €",,,,,,
12-févr.,4,herhervanl," 4,51 € "," 0,83 € "," 3,68 € ","144,97 €",,,,,,
13-févr.,1,grfla25," 1,40 € "," 0,39 € "," 1,01 € ","145,98 €",,,,,,
13-févr.,2,carencypa," 2,97 € ",- € ," 2,97 € ","148,95 €",,,,,,
15-févr.,1,Jean-richardonon0," 1,40 € "," 0,39 € "," 1,01 € ","149,96 €",,,,,,
14-févr.,1,dalhia13," 1,40 € "," 0,39 € "," 1,01 € ","150,97 €",,,,,,
15-févr.,10,pascalebichette," 1,97 € "," 0,41 € "," 1,56 € ","152,53 €",,,,,,
15-févr.,1,philat03," 1,87 € "," 0,40 € "," 1,47 € ","154,00 €",,,,,,
15-févr.,1,copain.57leucate," 1,57 € "," 0,40 € "," 1,17 € ","155,17 €",,,,,,
15-févr.,1,gilberzaja_0," 1,40 € "," 0,39 € "," 1,01 € ","156,18 €",,,,,,
16-févr.,1,chalberty," 1,40 € "," 0,39 € "," 1,01 € ","157,19 €",,,,,,
17-févr.,1,5953joseph," 1,17 € "," 0,38 € "," 0,79 € ","157,98 €",,,,,,
17-févr.,1,jeroboam62," 1,85 € "," 0,40 € "," 1,45 € ","159,43 €",,,,,,
17-févr.,6,noelvaure," 4,47 € "," 0,48 € "," 3,99 € ","163,42 €",,,,,,
18-févr.,1,bernard1237," 3,66 € ",- € ," 3,66 € ","167,08 €",,,"0,43",,,
19-févr.,,copain.57leucate," 2,50 € ",," 2,50 € ","169,58 €",,,,,,
21-févr.,2,fontcombe," 2,50 € "," 0,42 € "," 2,08 € ","171,66 €",,,"1,67",,,
22-févr.,1,alainfelix0854," 1,40 € "," 0,39 € "," 1,01 € ","172,67 €",,,"0,24",,,
23-févr.,1,h2.leinadh," 1,10 € "," 0,38 € "," 0,72 € ","173,39 €",,,,,,
23-févr.,1,jlman58," 1,27 € "," 0,39 € "," 0,88 € ","174,27 €",,,,,,
23-févr.,1,4365michel," 2,17 € "," 0,41 € "," 1,76 € ","176,03 €",,,,,,
24-févr.,1,h2.leinadh," 1,50 € "," 0,39 € "," 1,11 € ","177,14 €",,,,,,
24-févr.,1,chrislarmor," 1,87 € "," 0,40 € "," 1,47 € ","178,61 €",,,,,,
24-févr.,1,raillot," 1,87 € "," 0,40 € "," 1,47 € ","180,08 €",,,,,,
24-févr.,12,pascalebichette," 2,67 € "," 0,43 € "," 2,24 € ","182,32 €",,,,,,
25-févr.,2,cachemisere54," 2,60 € "," 0,77 € "," 1,83 € ","184,15 €",,"0,62",,,,
25-févr.,2,Chantalormea₀," 2,60 € "," 0,77 € "," 1,83 € ","185,98 €",,,,,,
27-févr.,1,syljul_28," 7,47 € "," 0,57 € "," 6,90 € ","192,88 €",,,,,,
27-févr.,6,philatelaude," 2,97 € "," 0,44 € "," 2,53 € ","195,41 €",,,,,,
28-févr.,2,monober67," 3,67 € "," 0,80 € "," 2,87 € ","198,28 €",,,,,,
28-févr.,1,egyptesissi73," 1,50 € "," 0,39 € "," 1,11 € ","199,39 €",,,,"11,21",,
28-févr.,7,sulpicius1397," 6,32 € ",- € ," 6,32 € ","205,71 €",,,,,,
29-févr.,1,adjyva," 5,47 € "," 0,51 € "," 4,96 € ","200,51 €",,,,,,
01-mars,1,K.alain.7," 1,67 € "," 0,40 € "," 1,27 € ","201,78 €",,,,,,
01-mars,1,3782philippe," 2,81 € "," 0,43 € "," 2,38 € ","204,16 €",,,,,,
01-mars,1,couta2014," 1,87 € "," 0,40 € "," 1,47 € ","205,63 €",,,,,,
02-mars,1,bernard1237," 3,76 € ",- € ," 3,76 € ","209,39 €",,,,,,
02-mars,1,Ledou-thier," 5,97 € "," 0,52 € "," 5,45 € ","214,84 €",,,,,,
03-mars,1,jeanlouis1946," 2,50 € "," 0,42 € "," 2,08 € ","216,92 €",,,,,,
03-mars,2,jlman58," 4,23 € "," 0,47 € "," 3,76 € ","220,68 €",,,,,,
03-mars,1,Grece_2009," 4,47 € "," 0,48 € "," 3,99 € ","224,67 €",,,,,,
03-mars,4,pascalebichette," 1,77 € "," 0,40 € "," 1,37 € ","226,04 €",,,,,,
06-mars,4,elocachou," 3,27 € "," 0,44 € "," 2,83 € ","228,87 €",,,,,,
07-mars,1,Grece_2009," 3,97 € "," 0,47 € "," 3,50 € ","232,37 €",,,,,,
08-mars,1,micmi_6672," 1,40 € "," 0,39 € "," 1,01 € ","233,38 €",,,,,,
08-mars,1,3782philippe," 2,68 € "," 0,43 € "," 2,25 € ","235,63 €",,,,,,
09-mars,1,h2.leinadh," 1,50 € "," 0,39 € "," 1,11 € ","236,74 €",,,,,,
11-mars,1,joelle9443," 1,40 € "," 0,39 € "," 1,01 € ","237,75 €",,,,,,
11-mars,1,avivarelli," 1,50 € "," 0,39 € "," 1,11 € ","238,86 €",,,,,,
11-mars,1,piedu21," 3,47 € "," 0,45 € "," 3,02 € ","241,88 €",,,,,,
11-mars,1,5953joseph," 1,07 € "," 0,38 € "," 0,69 € ","242,57 €",,,,,,
11-mars,1,alain7669," 1,77 € "," 0,40 € "," 1,37 € ","243,94 €",,,,,,
11-mars,1,nicolepauld," 1,77 € "," 0,40 € "," 1,37 € ","245,31 €",,,,,,
12-mars,1,molaylittry," 1,60 € "," 0,40 € "," 1,20 € ","246,51 €",,,,,,
12-mars,1,piedu21," 3,47 € "," 0,45 € "," 3,02 € ","249,53 €",,,,,,
13-mars,1,copain.57leucate," 1,60 € "," 0,40 € "," 1,20 € ","250,73 €",,,,,,
13-mars,1,Grece_2009," 1,27 € "," 0,39 € "," 0,88 € ","251,61 €",,,,,,
14-mars,1,fr.domi2012," 2,37 € "," 0,42 € "," 1,95 € ","253,56 €",,,,,,
14-mars,2,houxiaofu," 2,20 € "," 0,41 € "," 1,79 € ","255,35 €",,,,,,
17-mars,1,francois82100," 1,45 € "," 0,39 € "," 1,06 € ","256,41 €",,,,,,
17-mars,1,tpatrickhenri," 1,10 € "," 0,38 € "," 0,72 € ","257,13 €",,,,,,
17-mars,2,chantalormea_0," 3,00 € "," 0,78 € "," 2,22 € ","259,35 €",,,,,,
18-mars,3,pascalebichette," 3,47 € "," 0,45 € "," 3,02 € ","262,37 €",,,,,,
19-mars,5,amvap," 6,90 € "," 0,90 € "," 6,00 € ","268,37 €",,,,,,
19-mars,2,poulette1383," 6,97 € "," 0,55 € "," 6,42 € ","274,79 €",,,,,,
19-mars,3,jeanlouis1946," 7,62 € "," 0,57 € "," 7,05 € ","281,84 €",,,,,,
21-mars,2,titi802009," 1,67 € "," 0,40 € "," 1,27 € ","283,11 €",,,,,,
22-mars,1,fr.domi2012," 2,97 € "," 0,44 € "," 2,53 € ","285,64 €",,,,,,
22-mars,2,Ludmo-85," 2,80 € "," 0,43 € "," 2,37 € ","288,01 €",,,,,,
22-mars,5,raillot," 3,07 € "," 1,30 € "," 1,77 € ","289,78 €",,,,,,
22-mars,3,poutite," 6,79 € "," 0,55 € "," 6,24 € ","296,02 €",,,,,,
23-mars,1,chtidedemax," 3,47 € "," 0,45 € "," 3,02 € ","299,04 €",,,,,,
24-mars,1,fr.domi2012," 1,37 € "," 0,39 € "," 0,98 € ","300,02 €",,,,,,
31-mars,1,jersey99pascale," 2,05 € "," 0,41 € "," 1,64 € ","301,66 €",,,,,,
31-mars,2,jmc056," 4,37 € "," 0,83 € "," 3,54 € ","295,85 €",,,,,,
01-avr.,1,rousseletyvan," 1,17 € "," 0,38 € "," 0,79 € ","296,64 €",,,,,,
20-avr.,1,Jerdur_26," 1,30 € "," 0,39 € "," 0,91 € ","297,55 €",,,,,,
22-avr.,2,uschy671008," 2,80 € "," 0,43 € "," 2,37 € ","299,92 €",,,,,,
23-avr.,2,bernafr.yce7ou," 3,87 € "," 0,46 € "," 3,41 € ","303,33 €",,,,,,
23-avr.,1,micmi_6672," 1,40 € "," 0,39 € "," 1,01 € ","304,34 €",,,,,,
24-avr.,1,Mounette-16071960," 1,30 € "," 0,39 € "," 0,91 € ","305,25 €",,,,,,
25-avr.,3,melsilla," 2,17 € ",- € ," 2,17 € ","307,42 €",,,,,,
25-avr.,,amvap," 10,00 € ",- € ," 10,00 € ","317,42 €",,,,,,
25-avr.,1,camillcrmad0," 2,73 € "," 0,43 € "," 2,30 € ","319,72 €",,,,,,
26-avr.,1,robr0042.ixmy14b," 3,47 € "," 0,45 € "," 3,02 € ","322,74 €",,,,,,
28-avr.,2,tchousolex," 2,40 € "," 0,42 € "," 1,98 € ","324,72 €",,,,,,
29-avr.,1,nbranger85," 3,07 € "," 0,44 € "," 2,63 € ","327,35 €",,,,,,
29-avr.,1,bb47600," 1,10 € "," 0,38 € "," 0,72 € ","328,07 €",,,,,,
30-avr.,1,bowie800," 1,87 € "," 0,40 € "," 1,47 € ","329,54 €",,,,,,
30-avr.,1,syljul_28," 1,30 € "," 0,39 € "," 0,91 € ","330,45 €",,,,,,
30-avr.,3,bb47600," 4,00 € "," 0,47 € "," 3,53 € ","330,54 €",,,,,,
01-mai,1,jeanpault9049," 2,70 € "," 0,78 € "," 1,92 € ","332,46 €",,,,,,
03-mai,1,francigasnie0," 2,47 € "," 0,42 € "," 2,05 € ","334,51 €",,,,,,
05-mai,1,petanque936," 2,47 € ",- € ," 2,47 € ","336,98 €",,,,,,
05-mai,1,jersey99pascale," 2,47 € "," 0,42 € "," 2,05 € ","339,03 €",,,,,,
05-mai,1,281870," 3,06 € "," 0,44 € "," 2,62 € ","341,65 €",,,,,,
07-mai,1,titi802009," 1,56 € "," 0,40 € "," 1,16 € ","342,81 €",,,,,,
08-mai,1,nivacole78," 1,10 € "," 0,38 € "," 0,72 € ","343,53 €",,,,,,
08-mai,1,Xtophe-2013," 2,66 € "," 0,43 € "," 2,23 € ","345,76 €",,,,,,
08-mai,1,olivieheli0," 1,10 € "," 0,38 € "," 0,72 € ","346,48 €",,,,,,
10-mai,6,pascalebichette," 3,45 € "," 0,45 € "," 3,00 € ","349,48 €",,,,,,
10-mai,1,bianci62," 2,66 € "," 0,43 € "," 2,23 € ","351,71 €",,,,,,
10-mai,6,proue44," 2,97 € "," 0,44 € "," 2,53 € ","354,24 €",,,,,,
12-mai,1,Jerombouvie-0," 1,10 € "," 0,38 € "," 0,72 € ","354,96 €",,,,,,
13-mai,1,jola5092," 2,26 € "," 0,42 € "," 1,84 € ","356,80 €",,,,,,
13-mai,3,pcsap," 4,32 € ",- € ," 4,32 € ","361,12 €",,,,,,
14-mai,1,bb47600," 1,30 € "," 0,39 € "," 0,91 € ","362,03 €",,,,,,
15-mai,1,Jeanbernaroillarbur₀," 1,10 € "," 0,38 € "," 0,72 € ","362,75 €",,,,,,
15-mai,3,brigitte1547," 3,80 € "," 0,46 € "," 3,34 € ","366,09 €",,,,,,
16-mai,1,Ggmem-p4x849," 2,55 € "," 0,42 € "," 2,13 € ","368,22 €",,,,,,
17-mai,1,Domi-9042," 1,10 € "," 0,38 € "," 0,72 € ","368,94 €",,,,,,
18-mai,1,jeanlouis1946," 6,66 € "," 0,54 € "," 6,12 € ","375,06 €",,,,,,
20-mai,1,jeanot95330," 1,40 € "," 0,39 € "," 1,01 € ","376,07 €",,,,,,
20-mai,1,phildes_17," 7,16 € "," 0,56 € "," 6,60 € ","382,67 €",,,,,,
23-mai,1,jmc056," 3,55 € "," 0,45 € "," 3,10 € ","385,77 €",,,,,,
25-mai,2,Guilaingrille₀," 19,61 € "," 0,92 € "," 18,69 € ","404,46 €",,,,,,
25-mai,2,281870," 2,97 € ",- € ," 2,97 € ","407,43 €",,,,,,
26-mai,x,jlman58," 18,86 € "," 0,90 € "," 17,96 € ","425,39 €",,,,,,
30-mai,1,virgcabdel," 1,40 € "," 0,39 € "," 1,01 € ","418,14 €",,,,,,
01-juin,2,mti671," 3,67 € "," 0,46 € "," 3,21 € ","421,35 €",,,,,,
02-juin,3,jacques351," 2,17 € ",- € ," 2,17 € ","423,52 €",,,,,,
03-juin,1,fleur26gg," 1,97 € "," 0,41 € "," 1,56 € ","425,08 €",,,,,,
04-juin,2,chantaldlx83," 4,37 € "," 0,48 € "," 3,89 € ","428,97 €",,,,,,
05-juin,1,jacquescollectiontimbres," 1,56 € "," 0,40 € "," 1,16 € ","430,13 €",,,,,,
05-juin,1,kolesam76," 2,67 € "," 0,43 € "," 2,24 € ","432,37 €",,,,,,
06-juin,2,kolesam76," 5,00 € "," 0,50 € "," 4,50 € ","436,87 €",,,,,,
07-juin,2,badaboum78," 2,00 € "," 0,41 € "," 1,59 € ","438,46 €",,,,,,
08-juin,4,koko6259," 4,80 € "," 0,49 € "," 4,31 € ","442,77 €",,,,,,
09-juin,3,melpoi19," 1,37 € "," 0,39 € "," 0,98 € ","443,75 €",,,,,,
09-juin,6,pascalebichette," 3,22 € "," 0,44 € "," 2,78 € ","446,53 €",,,,,,
09-juin,1,trompette1940," 1,20 € "," 0,38 € "," 0,82 € ","447,35 €",,,,,,
09-juin,1,rousseletyvan," 1,17 € "," 0,38 € "," 0,79 € ","448,14 €",,,,,,
10-juin,1,Robercosso₀," 1,20 € "," 0,38 € "," 0,82 € ","448,96 €",,,,,,
