2020-03-11,1,joelle9443,"1,40","0,39"
2020-03-11,1,avivarelli,"1,50","0,39"
2020-03-11,1,piedu21,"3,47","0,45"
2020-03-11,1,5953joseph,"1,07","0,38"
2020-03-11,1,alain7669,"1,77","0,40"
2020-03-11,1,nicolepauld,"1,77","0,40"
2020-03-12,1,molaylittry,"1,60","0,40"
2020-03-12,1,piedu21,"3,47","0,45"
2020-03-13,1,copain.57leucate,"1,60","0,40"
2020-03-13,1,Grece_2009,"1,27","0,39"
2020-03-14,1,fr.domi2012,"2,37","0,42"
2020-03-14,2,houxiaofu,"2,20","0,41"
2020-03-17,1,francois82100,"1,45","0,39"
2020-03-17,1,tpatrickhenri,"1,10","0,38"
2020-03-17,2,chantalormea_0,"3,00","0,78"
2020-03-18,3,pascalebichette,"3,47","0,45"
2020-03-19,5,amvap,"6,90","0,90"
2020-03-19,2,poulette1383,"6,97","0,55"
2020-03-19,3,jeanlouis1946,"7,62","0,57"
2020-03-21,2,titi802009,"1,67","0,40"
2020-03-22,1,fr.domi2012,"2,97","0,44"
2020-03-22,2,Ludmo-85,"2,80","0,43"
2020-03-22,5,raillot,"3,07","1,30"
2020-03-22,3,poutite,"6,79","0,55"
2020-03-23,1,chtidedemax,"3,47","0,45"
2020-03-24,1,fr.domi2012,"1,37","0,39"
2020-03-31,1,jersey99pascale,"2,05","0,41"
2020-03-31,2,jmc056,"4,37","0,83"
2020-04-01,1,rousseletyvan,"1,17","0,38"
2020-04-20,1,Jerdur_26,"1,30","0,39"
2020-04-22,2,uschy671008,"2,80","0,43"
2020-04-23,2,bernafr.yce7ou,"3,87","0,46"
2020-04-23,1,micmi_6672,"1,40","0,39"
2020-04-24,1,Mounette-16071960,"1,30","0,39"
2020-04-25,3,melsilla,"2,17","0,00"
2020-04-25,,amvap,"10,00","0,00"
2020-04-25,1,camillcrmad0,"2,73","0,43"
2020-04-26,1,robr0042.ixmy14b,"3,47","0,45"
2020-04-28,2,tchousolex,"2,40","0,42"
2020-04-29,1,nbranger85,"3,07","0,44"
2020-04-29,1,bb47600,"1,10","0,38"
2020-04-30,1,bowie800,"1,87","0,40"
2020-04-30,1,syljul_28,"1,30","0,39"
2020-04-30,3,bb47600,"4,00","0,47"
2020-05-01,1,jeanpault9049,"2,70","0,78"
2020-05-03,1,francigasnie0,"2,47","0,42"
2020-05-05,1,petanque936,"2,47","0,00"
2020-05-05,1,jersey99pascale,"2,47","0,42"
2020-05-05,1,281870,"3,06","0,44"
2020-05-07,1,titi802009,"1,56","0,40"
2020-05-08,1,nivacole78,"1,10","0,38"
2020-05-08,1,Xtophe-2013,"2,66","0,43"
2020-05-08,1,olivieheli0,"1,10","0,38"
2020-05-10,6,pascalebichette,"3,45","0,45"
2020-05-10,1,bianci62,"2,66","0,43"
2020-05-10,6,proue44,"2,97","0,44"
2020-05-12,1,Jerombouvie-0,"1,10","0,38"
2020-05-13,1,jola5092,"2,26","0,42"
2020-05-13,3,pcsap,"4,32","0,00"
2020-05-14,1,bb47600,"1,30","0,39"
2020-05-15,1,Jeanbernaroillarbur₀,"1,10","0,38"
2020-05-15,3,brigitte1547,"3,80","0,46"
2020-05-16,1,Ggmem-p4x849,"2,55","0,42"
2020-05-17,1,Domi-9042,"1,10","0,38"
2020-05-18,1,jeanlouis1946,"6,66","0,54"
2020-05-20,1,jeanot95330,"1,40","0,39"
2020-05-20,1,phildes_17,"7,16","0,56"
2020-05-23,1,jmc056,"3,55","0,45"
2020-05-25,2,Guilaingrille₀,"19,61","0,92"
2020-05-25,2,281870,"2,97","0,00"
2020-05-26,x,jlman58,"18,86","0,90"
2020-05-30,1,virgcabdel,"1,40","0,39"
2020-06-01,2,mti671,"3,67","0,46"
2020-06-02,3,jacques351,"2,17","0,00"
2020-06-03,1,fleur26gg,"1,97","0,41"
2020-06-04,2,chantaldlx83,"4,37","0,48"
2020-06-05,1,jacquescollectiontimbres,"1,56","0,40"
2020-06-05,1,kolesam76,"2,67","0,43"
2020-06-06,2,kolesam76,"5,00","0,50"
2020-06-07,2,badaboum78,"2,00","0,41"
2020-06-08,4,koko6259,"4,80","0,49"
2020-06-09,3,melpoi19,"1,37","0,39"
2020-06-09,6,pascalebichette,"3,22","0,44"
2020-06-09,1,trompette1940,"1,20","0,38"
2020-06-09,1,rousseletyvan,"1,17","0,38"
2020-06-10,1,Robercosso₀,"1,20","0,38"
2020-06-11,1,saggradda,"8,46","0,60"
2020-06-11,1,terr6622_7kxqnjxc,"2,07","0,41"
2020-06-11,1,Marie-hmi-0,"4,16","0,47"
2020-06-11,1,jeroboam62,"3,53","0,48"
2020-06-12,1,piedu21,"3,62","0,45"
2020-06-14,4,claudelemaire17wanadoofr2013,"4,97","0,84"
2020-06-15,1,metrica67,"3,33","0,45"
2020-06-15,1,titefouine911,"2,07","0,41"
2020-06-15,1,phildes_17,"1,97","0,41"
2020-06-16,3,mufrap,"1,27","0,39"
2020-06-16,1,lenoyellois,"3,66","0,46"
2020-06-17,3,badaboum78,"2,50","0,00"
2020-06-18,3,wil262wilfrid,"2,17","0,41"
2020-06-18,1,Pascaforti₆,"8,97","0,61"
2020-06-18,8,leaut48,"3,87","0,46"
2020-06-20,1,stamps1955.h.f,"3,47","0,45"
2020-06-20,1,jersey99pascale,"2,16","0,41"
2020-06-20,1,Marie-hmi-0,"1,57","0,40"
2020-06-21,10,pascalebichette,"2,57","0,42"
2020-06-21,1,francsgasni0,"1,97","0,41"
2020-06-21,18,jeanclaude9439,"3,97",
2020-06-23,1,jeanlouis1946,"1,37","0,39"
2020-06-23,1,claudelemaire17wanadoofr2013,"4,47","0,48"
2020-06-24,1,Marie-hmi-0,"1,97","0,41"
2020-06-25,1,Marie-hmi-0,"1,37","0,39"
2020-06-25,1,wil262wilfrid,"2,98","0,44"
2020-06-25,1,piedu21,"1,37","0,39"
2020-06-26,2,claudelemaire17wanadoofr2013,"2,70","0,43"
2020-06-28,1,laure_mett,"3,47","0,45"
2020-06-28,1,Franck._31,"3,47","0,45"
2020-06-29,1,baure61,"1,17","0,38"
2020-06-29,1,Clovis-fr,"1,30","0,39"
2020-06-29,3,louisa1888,"3,67","0,46"
2020-06-29,1,copain.57leucate,"1,97","0,41"
2020-06-30,2,pcsap,"4,51","0,00"
2020-07-01,1,Amiren-4,"6,47","0,54"
2020-07-01,1,jola5092,"2,47","0,42"
2020-07-01,1,gilou256096,"1,97","0,41"
2020-07-01,1,herhervanl,"4,47","0,48"
2020-07-02,3,pascalebichette,"2,29","0,42"
2020-07-02,4,stamps1955.h.f,"7,83","0,58"
2020-07-03,3,domdom0546,"10,47","0,65"
2020-07-04,1,thuilmiche,"1,80","0,00"
2020-07-05,1,isabellem7273,"3,97","0,47"
2020-07-05,1,Boby_30,"1,17","0,38"
2020-07-07,1,bb47600,"1,87","0,40"
2020-07-08,1,Af09_11,"3,97","0,47"
2020-07-08,1,proue44,"1,87","0,40"
2020-07-09,1,botteannick,"6,47","0,54"
2020-07-09,1,yancau0,"2,97","0,44"
2020-07-10,2,lensois02100francoise,"3,00","0,78"
2020-07-11,6,J-bobou-w3pkj5zc,"8,30","0,59"
2020-07-11,1,copain.57leucate,"1,97","0,41"
2020-07-12,1,bowie800,"1,50","0,39"
2020-07-12,1,thuilmiche,"1,50","0,00"
2020-07-13,2,sfx3420,"3,00","0,78"
2020-07-13,4,patmau6323,"4,47","0,48"
2020-07-13,1,Xtophe-2013,"4,97","0,49"
2020-07-14,3,roro1953,"3,00","0,78"
2020-07-14,1,patirian,"3,47","0,45"
2020-07-15,1,bydom38,"5,47","0,51"
2020-07-16,1,Gerarcreti-7,"1,30","0,39"
2020-07-17,1,titi802009,"2,07","0,41"
2020-07-17,x,jlman58,"12,99","0,73"
2020-07-17,3,marchanchan,"3,27","0,44"
2020-07-18,1,jadup24,"1,80","0,40"
2020-07-18,2,claude.berthet30,"6,77","0,55"
2020-07-18,10,stamps1955.h.f,"11,62","0,69"
2020-07-20,4,polska62,"10,90","0,00"
2020-07-20,1,gilou256096,"1,80","0,40"
2020-07-22,2,isabellem7273,"6,45","0,54"
2020-07-22,1,patirian,"1,95","0,41"
2020-07-22,1,luftipaulhenri,"3,42","0,45"
2020-07-23,1,Jean-pauinte-0,"1,80","0,40"
2020-07-23,1,cyrwil,"1,80","0,40"
2020-07-23,1,polska62,"5,50","0,99"
2020-07-23,1,yancau0,"4,95","0,49"
2020-07-25,2,Englishrose0₆,"3,35","0,45"
2020-07-27,2,hepat60,"3,60","0,45"
2020-07-27,1,jeanlouis1946,"4,85","0,49"
2020-07-27,1,cyrwil,"1,80","0,40"
2020-07-27,1,molaylittry,"1,80","0,40"
2020-07-27,1,Hugo2007-2008,"2,05","0,41"
2020-07-30,1,bebertnumero3,"1,80","0,40"
2020-07-30,1,Chrismau-7150,"1,80","0,40"
2020-07-30,8,stamps1955.h.f,"9,89","0,64"
2020-07-30,5,mti671,"6,40","0,54"
2020-07-31,1,jean-louistaskiewic-0,"1,80","0,40"
2020-07-31,1,robr0042.ixmy14b,"1,80","0,40"
2020-07-31,1,andrmayeu0,"6,85","0,55"
2020-08-01,3,christianc01330,"6,45","0,54"
2020-08-02,1,Marie-hmi-0,"1,45","0,39"
2020-08-02,1,Amca_34,"2,15","0,41"
2020-08-04,1,jean-louistaskiewic-0,"3,15","0,44"
2020-08-04,3,isabellem7273,"9,15","0,62"
2020-08-05,1,pejo6257,"3,70","0,46"
2020-08-05,2,jacquescollectiontimbres,"3,18","0,44"
